Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
0.709159992,2.417883312,-2997,1.08E-04,4,0.2,8.95E-04,PITX3,result,3.941274054,0.003001328,10
455.2228219,162.9820111,-2941,1.49E-04,13,0.25,0.009479829,MYO1B,result,4.771068348,0.002992893,13762
74.97033258,25.66210319,-2865,1.18E-04,5,0.2,0.001549276,ACHE,result,4.179827472,0.002987633,980
335.0125545,59.38804184,-2864,1.51E-04,17,0.25,0.007255286,SNX17,result,4.796615793,0.002979293,10772
1035.596468,25.93334902,-2709,1.54E-04,52,0.25,0.025746667,IRS4,result,4.848042468,0.002929831,44466
12.40874817,11.04369516,-2968,1.48E-04,9,0.25,0.006170325,CKM,result,4.762110153,0.002924932,220
25093.49453,21.83672217,-2350,1.63E-04,191,0.25,0.060881365,HSPA4,result,4.967153285,0.002861643,488776
685.6964427,32.4017776,-2863,1.51E-04,24,0.25,0.011199831,AGO1,result,4.796947578,0.002855766,17666
1145.754477,39.03718376,-2783,1.52E-04,40,0.25,0.015430617,BAG1,result,4.823490378,0.002829418,24228
141.5503106,12.32850772,-2917,1.49E-04,21,0.25,0.00923795,ARIH1,result,4.779031188,0.002806158,2066
1034.067489,43.03587312,-2733,1.54E-04,33,0.25,0.014420243,VDAC2,result,4.840079628,0.002756994,26664
153.4816325,69.31674637,-2831,1.21E-04,10,0.25,0.002530458,SHC3,result,4.249170537,0.002742824,4974
3932.747001,72.05758834,-2686,1.29E-04,30,0.2,0.00548394,TTR,result,4.423689449,0.002737277,43944
30.84880493,11.02356746,-2973,1.48E-04,10,0.25,0.005983394,PRPS1,result,4.760451228,0.002728271,338
28.27156294,10.94853744,-2923,1.49E-04,15,0.25,0.00946386,RAI14,result,4.777040478,0.002727683,836
1600.45325,58.08742075,-2733,1.54E-04,31,0.25,0.013086408,CSNK1D,result,4.840079628,0.002727419,27124
10950.54064,77.23349921,-2686,1.26E-04,39,0.2,0.004297998,LRP2,result,4.373258129,0.002724578,214248
6645.261353,274.1644092,-2911,1.50E-04,18,0.25,0.007747359,FBP1,result,4.781021898,0.002713855,42924
21966.8619,26.47000494,-2421,1.61E-04,169,0.25,0.062003158,HSPA1A,result,4.943596549,0.002705512,440682
2350.793566,54.37573377,-2842,1.51E-04,37,0.25,0.01507466,TPM3,result,4.803915063,0.002704802,41716
165.6409943,62.95179766,-2959,1.48E-04,10,0.25,0.00607669,CYB5R3,result,4.765096218,0.002698159,6194
387.4991145,46.6777712,-2888,1.50E-04,19,0.25,0.008220985,CAPZA2,result,4.788652953,0.002696709,13984
305.3370626,13.13961478,-2909,1.50E-04,27,0.25,0.008826488,RB1CC1,result,4.781685468,0.002654149,3318
2245.782257,14.07663218,-2750,1.53E-04,87,0.25,0.030374359,VDAC3,result,4.834439283,0.002626485,48088
6498.868613,208.4601228,-2949,1.49E-04,19,0.25,0.006594798,MAP2K6,result,4.768414068,0.002581719,38536
1615.455823,38.75877465,-2915,1.49E-04,27,0.25,0.008332134,CAPN2,result,4.779694758,0.002559169,18196
1338.642202,12.30691857,-2681,1.55E-04,91,0.25,0.043642721,RPS8,result,4.857332449,0.002542754,44410
7550.967401,99.53752948,-2808,1.52E-04,39,0.25,0.013144654,PKN1,result,4.815195753,0.002537598,73802
5496.524416,17.55603218,-2576,1.57E-04,107,0.25,0.032708436,NR3C1,result,4.892169874,0.002525919,94156
19052.56849,125.4361847,-2730,1.25E-04,33,0.2,0.003923198,APOA1,result,4.349701393,0.002505403,360010
1429.666148,443.2277557,-2946,1.49E-04,8,0.25,0.004788876,SCARB1,result,4.769409423,0.013376568,25200
1025.282676,15.24641912,-2855,1.51E-04,39,0.25,0.012645961,HTRA2,result,4.799601858,0.002497761,18486
722.489544,50.28526114,-2926,1.49E-04,18,0.25,0.00600691,LDLR,result,4.776045123,0.002495192,14722
1.808985759,8.54684828,-2988,1.13E-04,4,0.2,0.001808635,WDR16,result,4.051426676,0.002477748,44
1.345714913,5.905499017,-2995,1.48E-04,4,0.25,0.004811635,ACSL1,result,4.753151958,0.002470372,26
1888.089868,39.2930176,-2701,1.54E-04,52,0.25,0.025731831,UBE2M,result,4.850696749,0.002429015,33622
1077.475063,21.29225669,-2843,1.51E-04,43,0.25,0.01659988,MTA2,result,4.803583278,0.0024286,22678
729.9447339,95.64258866,-2917,1.49E-04,18,0.25,0.01036986,TNRC6B,result,4.779031188,0.002428061,14732
2143.546305,40.19330876,-2854,1.51E-04,34,0.25,0.013674783,AGO3,result,4.799933643,0.004866721,34030
12122.77029,30.3003777,-2675,1.55E-04,78,0.25,0.015684789,PSEN1,result,4.859323159,0.002420281,159822
1352.677003,48.99135102,-2742,1.29E-04,27,0.25,0.005606154,MAPK8IP1,result,4.432315859,0.00236826,25412
375.5572993,19.91487491,-2728,1.54E-04,23,0.25,0.011261837,ELK1,result,4.841738553,0.002364084,10636
