gene name,Closeness unDir,Degree unDir,Eccentricity unDir,Radiality unDir
SLBP,0.000286123,587,0.333333333,3.264647468
COQ7,0.000263574,239,0.333333333,3.116186693
BAZ1B,0.000269107,353,0.333333333,3.154915591
ZHX2,0.000275786,444,0.333333333,3.199602781
CD40,0.000269251,355,0.333333333,3.15590864
SUPT20H,0.0002574,157,0.333333333,3.071002979
MAP4K4,0.000284657,577,0.333333333,3.25571003
GFRA1,0.000279096,467,0.333333333,3.220953327
SMARCA4,0.000275406,466,0.333333333,3.197120159
MTMR4,0.000262192,224,0.333333333,3.106256207
SUPT4H1,0.000259403,185,0.333333333,3.085898709
HDAC3,0.000267308,336,0.333333333,3.142502483
TELO2,0.000261165,216,0.333333333,3.098808342
RASSF1,0.000254842,122,0.333333333,3.05163853
CALR,0.000255951,136,0.333333333,3.060079444
LNPEP,0.000271444,368,0.333333333,3.170804369
SMARCC1,0.000276702,500,0.333333333,3.205561072
VLDLR,0.000263366,247,0.333333333,3.11469712
SMARCA2,0.00028393,567,0.333333333,3.251241311
SMARCD2,0.000261438,215,0.333333333,3.100794439
ZNF510,0.000257334,152,0.333333333,3.070506455
TAF4,0.00026462,264,0.333333333,3.123634558
JMJD1C,0.000261301,206,0.333333333,3.09980139
WNK1,0.000280978,516,0.333333333,3.232869911
ERBB3,0.000267165,331,0.333333333,3.141509434
SETD1A,0.000258465,167,0.333333333,3.078947368
GTF2H1,0.000266312,307,0.333333333,3.135551142
CDC40,0.000267738,322,0.333333333,3.145481629
MSH3,0.000259808,192,0.333333333,3.088877855
UVRAG,0.000280112,522,0.333333333,3.227408143
PSEN1,0.000261506,227,0.333333333,3.101290963
TGIF1,0.000258598,174,0.333333333,3.079940417
GRB2,0.000277393,568,0.333333333,3.210029791
APAF1,0.000269906,351,0.333333333,3.160377358
SMPD1,0.000261643,220,0.333333333,3.102284012
DEK,0.000288684,641,0.333333333,3.280039722
MLXIP,0.000254065,108,0.333333333,3.045680238
PTPN6,0.000269107,408,0.333333333,3.154915591
YAF2,0.000260688,208,0.333333333,3.095332671
ORC3,0.000268889,354,0.333333333,3.153426018
NRF1,0.00026441,265,0.333333333,3.122144985
NCAPD3,0.000272628,377,0.333333333,3.178748759
DNAJA3,0.000263435,239,0.5,3.115193644
STK4,0.000276167,464,0.333333333,3.202085402
TLK1,0.000272109,381,0.333333333,3.175273088
HIF1A,0.000270416,387,0.333333333,3.163853029
