gene name,Degree unDir,EigenVector unDir
UBE2E1,293,0.018960513475410733
SYT5,179,0.011256890861060206
ALDH6A1,161,0.009129845303256614
ATP5L,177,0.011313587847014488
HAX1,287,0.015383260116428104
PNPLA6,240,0.012685298968924874
BRD3,117,0.006436007373329194
FGF8,277,0.018736305414841142
DNAH7,227,0.01386096424448408
PMAIP1,179,0.01212063153241568
HMOX1,228,0.013216943037337892
RSAD2,107,0.006550430778250002
ZZEF1,242,0.015400116435005209
APAF1,354,0.022103654362438892
STK3,286,0.018958254026413827
SLC4A4,502,0.03452880734727612
MLLT11,190,0.012766223478476404
ATP6V1B2,265,0.01687281631585122
AKR7A3,181,0.00972117947122662
CRTAP,364,0.02431995104290855
TNNC2,180,0.008867675053054122
PARVB,226,0.014242334823275199
CYHR1,94,0.005128483930815912
GEM,185,0.011716140289585251
IGBP1,244,0.014682367798082194
SERPINB7,185,0.011922930672815276
APBA1,346,0.021923890767531776
CCDC86,310,0.020728430417021694
CRP,375,0.02227825125074635
ATXN7L1,393,0.02576339503674207
KRT1,294,0.017813754465508737
CCNA1,278,0.017905040432448137
IL7,380,0.02626391398709695
MC2R,219,0.012814322671536408
NOL3,197,0.011170216633138668
UNC119,156,0.007383679204159998
PLAUR,252,0.014320815670582465
SNX3,254,0.015406049651661223
GPX1,295,0.015505957448838882
ZFR2,64,0.003960575210004828
DOPEY2,188,0.012713125727575117
PDE3B,134,0.008497338347550475
F2,184,0.011557702454638375
AMPD3,170,0.009541888596091178
MMP3,312,0.020838429021417793
ANXA3,737,0.04430562173317639
PGD,616,0.039063813082724
ELAVL2,343,0.02110735357435275
CDSN,135,0.006764257620746466
GPRC5A,327,0.020972740559116534
PCCA,373,0.02456041728335767
CNP,167,0.009889159938955613
PSMC3,320,0.017037476183388973
CD69,201,0.010520159989852389
CFI,306,0.01741726941779549
RAB6B,353,0.021397055011910922
DEGS1,256,0.016816267254331174
FMO2,312,0.018519932981783577
ABCC8,303,0.01917394971988925
BBC3,106,0.005946650234134527
HOXB2,161,0.00863342104220896
CDK9,307,0.01785191662013811
UQCR11,301,0.016086835777339294
VDR,239,0.01486885513466714
PPM1D,98,0.0061243509734229306
CDH17,422,0.026858753727708375
MCF2L2,199,0.013288688266171866
TMED9,211,0.013239680895758998
CHRNA2,392,0.02177404296170136
SEPT2,102,0.006278468049891844
TIMP4,508,0.03206042885968944
ZNF536,448,0.02933893983314706
UTY,73,0.004307024905247062
ALDH1A1,231,0.014622814790640965
CTSH,403,0.027023078398126822
CYP2C19,272,0.016381413811936696
LGALS3BP,157,0.008409645442242476
CYP4F2,306,0.01923508261083372
MAP3K7,525,0.03410514521276721
HLX,269,0.01701977802660691
CAMKK2,287,0.018092426805899297
HGFAC,226,0.012735367576225697
CHI3L2,158,0.00978575357288623
NBEAL2,122,0.006159594557542895
T,318,0.018708639061902885
KIAA0513,385,0.02409602780239142
ITGA2B,231,0.015432244437904034
TMEM159,139,0.007763170876399481
FTO,138,0.008104679343031393
KCNS3,404,0.02542053127534233
LILRB4,334,0.017801192947762494
B3GALT4,139,0.00700172788610677
TCF15,183,0.011414922931394981
CAPN3,330,0.0180758984885747
PIEZO1,146,0.007069589213552583
GRM2,387,0.02555024777033582
HERPUD1,249,0.014338029194016801
RBP4,327,0.019507632454775974
COL18A1,431,0.028850118247389808
PRPF18,243,0.0167172881642216
SERPINI1,239,0.01577359446634746
LTA,288,0.015542048959337702
CBR1,321,0.01983954021645208
TRHR,328,0.022753836535652116
COX7A1,320,0.017847947034523744
SRI,279,0.01803097691217001
MCF2L,178,0.01140093931861151
TRIP10,248,0.014460612943030882
MPP2,243,0.016284509418304106
HCRTR1,229,0.012998673274159524
TRIM26,258,0.015157682955575156
TESK2,254,0.017413769346212717
IDS,427,0.028026130296196328
CLIC5,324,0.020704388845814804
BCHE,443,0.02864852066904231
XPO7,277,0.016402643165807935
ALDH7A1,327,0.0214228687548344
DOK2,465,0.028916078297989537
PTS,273,0.016139326719562013
CST3,271,0.014577277559532574
LRIT1,194,0.011419093091448078
CYLD,85,0.0051753327327289855
BTBD2,224,0.01274101454976846
BCKDHB,376,0.025685755975607846
ZNF507,356,0.022421033127281723
APLP1,345,0.021654939917225537
BSG,243,0.013592831901134998
MZF1,179,0.009771107479793562
IKBKG,242,0.01199415226536558
ACADL,268,0.01771592452453819
CCS,357,0.019729808137763878
HMGCR,297,0.018749946973328102
SPRED2,255,0.01818135268054777
MDH2,195,0.011999903169896412
SV2A,284,0.01811552186491029
SPINK4,310,0.019221319595078317
