gene name,Closeness unDir,Eccentricity unDir,Radiality unDir
HTT,0.000181884,0.5,3.175846052
FBP1,0.00017507,0.333333333,3.104844061
FKBP4,0.000171174,0.333333333,3.061712011
CYB5R1,0.000171644,0.333333333,3.067020571
MYL12B,0.000169205,0.333333333,3.03915063
LIMS1,0.000172503,0.333333333,3.076642336
APOC1,0.000174734,0.333333333,3.101194426
MAP2K6,0.000173641,0.333333333,3.089250166
MAPK12,0.000167448,0.333333333,3.01857996
HSD17B4,0.000175654,0.333333333,3.111147976
CYB5A,0.000175593,0.333333333,3.110484406
HSP90AB1,0.00017325,0.333333333,3.084936961
HP,0.000175654,0.333333333,3.111147976
AADAC,0.000177117,0.333333333,3.126741871
TMCC2,0.000170911,0.333333333,3.058725946
HTRA2,0.000170823,0.333333333,3.057730591
ITGB7,0.000171527,0.333333333,3.065693431
CAPN2,0.0001734,0.333333333,3.086595886
SLC6A2,0.000170999,0.333333333,3.059721301
KCNJ6,0.000177525,0.5,3.131055076
HTRA1,0.000172503,0.333333333,3.076642336
DAPK1,0.000186567,0.333333333,3.221632382
TTPA,0.000178987,0.333333333,3.146317186
CFHR3,0.000172444,0.333333333,3.075978766
CYP2D6*KDG*,0.00017452,0.333333333,3.098871931
BST1*KDG*,0.000187547,0.5,3.230922362
BDNF*KDG*,0.00017646,0.333333333,3.119774386
HSPB6,0.000170707,0.333333333,3.056403451
ACE,0.000173732,0.333333333,3.090245521
UBE2G1,0.00017094,0.333333333,3.059057731
SCARB1,0.000179308,0.333333333,3.149635036
EPB41L1,0.00017319,0.333333333,3.084273391
DMTN,0.000176243,0.333333333,3.117451891
FAH,0.000177968,0.333333333,3.135700066
ZAP70,0.00017449,0.333333333,3.098540146
MAPK11,0.00017059,0.333333333,3.055076311
HMGCS1,0.000172622,0.333333333,3.077969476
ACTG2,0.000171116,0.333333333,3.061048441
VLDLR,0.000175901,0.333333333,3.113802256
ESRRB,0.000174398,0.333333333,3.097544791
CYP2C9,0.000177242,0.333333333,3.128069011
TGM1,0.00016835,0.333333333,3.02919708
RPS6KA3,0.00017059,0.333333333,3.055076311
HSPA1A,0.000171174,0.333333333,3.061712011
CDC37,0.000174764,0.333333333,3.101526211
ART1,0.000172563,0.333333333,3.077305906
SLC11A2,0.000171292,0.333333333,3.063039151
CAV1,0.000175716,0.5,3.111811546
SYT11,0.000171851,0.333333333,3.069343066
RAD21,0.000175623,0.333333333,3.110816191
SGK1,0.00017301,0.333333333,3.082282681
TOMM40,0.000175162,0.333333333,3.105839416
POR,0.000170329,0.333333333,3.052090246
CKM,0.000171939,0.333333333,3.070338421
USP9Y,0.000167983,0.333333333,3.024883875
TYRO3,0.000176741,0.333333333,3.122760451
RAI14,0.000177873,0.333333333,3.134704711
MAP1B,0.000180018,0.333333333,3.156934307
RPS6KA1,0.000176056,0.333333333,3.115461181
MAP2K3,0.000170999,0.333333333,3.059721301
TNFRSF1A,0.000174764,0.333333333,3.101526211
SYN1,0.000171733,0.333333333,3.068015926
CYB5R3,0.000170213,0.333333333,3.050763106
AP1B1,0.000178827,0.333333333,3.144658261
MARCH2,0.000172503,0.333333333,3.076642336
MYL6,0.000168833,0.333333333,3.034837425
CAPZA2,0.000175223,0.5,3.106502986
LECT2,0.000183621,0.333333333,3.193098872
IDI1,0.000175778,0.333333333,3.112475116
MPC2,0.000172028,0.333333333,3.071333776
LRP2,0.00017001,0.333333333,3.04844061
SLC1A2,0.000176243,0.333333333,3.117451891
PAWR,0.000170853,0.333333333,3.058062376
NR5A2,0.00017646,0.333333333,3.119774386
KCNAB1,0.000180799,0.5,3.164897147
SERPINB10,0.000173641,0.333333333,3.089250166
RALYL,0.000168634,0.333333333,3.03251493
TUBA1A,0.000175439,0.333333333,3.108825481
PSEN1,0.000172771,0.333333333,3.079628401
IRS4,0.000174064,0.333333333,3.093895156
KCNJ5,0.00017135,0.333333333,3.063702721
RELN,0.000182749,0.5,3.184472462
CASR,0.000172028,0.333333333,3.071333776
NOS3,0.00017191,0.333333333,3.070006636
DLG4,0.000173853,0.333333333,3.091572661
RB1CC1,0.000176211,0.333333333,3.117120106
ATP6V1E1,0.000180636,0.333333333,3.163238222
UBE2M,0.000169492,0.333333333,3.04246848
ILK,0.000176367,0.333333333,3.118779031
ELOVL6,0.000182849,0.5,3.185467817
FADS1,0.000170969,0.333333333,3.059389516
DHCR7,0.000171497,0.333333333,3.065361646
APOC3,0.000174398,0.333333333,3.097544791
NTRK3,0.000182183,0.5,3.178832117
SIM2,0.000171174,0.333333333,3.061712011
FOXG1,0.000182548,0.333333333,3.182481752
KCNJ9,0.00017191,0.333333333,3.070006636
GSK3A,0.00017963,0.5,3.152952887
DNAJB1,0.000170648,0.333333333,3.055739881
ABHD14A,0.000174095,0.333333333,3.094226941
ATP6V1B1,0.000171703,0.333333333,3.067684141
SNCB,0.000177179,0.333333333,3.127405441
