gene name,Betweenness unDir,Stress unDir
VAV1,2640.581655,89088
LRRC37A3,233.0728912,8820
CCNH,1519.302845,61768
ATRX,1417.319448,60262
CNTRL,1278.56992,53338
SMARCE1,1658.188571,79240
MAFK,621.4899016,18330
RHEB,493.3957506,18882
HDAC2,4631.599095,218244
GADD45G,673.0827163,22394
RRP7A,233.9524245,11922
CUL2,2367.937457,100882
FES,2058.772972,83312
TNF,1627.775241,55022
KIT,2817.806598,101274
EGFR,5521.474858,220032
KARS,1961.418464,81484
ASF1A,1302.260999,58744
CBFB,3479.187582,184110
PIK3R2,2139.296115,64306
CDC25B,2527.102631,91828
DDX3X,946.9747133,43210
TMPRSS2,1092.756179,37872
ASH2L,2510.276529,101138
NR5A2,1126.687979,49088
RPL5,421.9371172,20146
MRC1,620.6893109,25246
MAP3K7,7768.586308,337134
IRS4,512.6556947,21352
RBBP6,2290.02,95210
ERCC5,3845.750343,143782
TYK2,3187.355233,110544
TP53BP2,3156.575884,128114
RCOR1,2036.19404,94198
RNF139,2193.965692,86262
SRR,366.7249086,15774
AKT3,2429.667587,99060
DUSP5,1394.815375,47788
RNASEH2B,3311.782353,144462
EGR1,2495.370213,84086
MBNL2,736.9371729,28344
GAB1,1604.274299,66392
APOBEC3G,656.1818726,21944
MGEA5,1014.905925,42702
SMARCD1,1623.204541,67578
ZNF217,4852.892088,210912
CD27,2018.351395,73130
ELF1,2861.81979,121102
PARP1,4883.039065,226374
TFAP2A,622.3441096,22828
ITGB3BP,3015.973295,162952
AFP,549.5610903,20794
SMCHD1,787.593115,41432
RECQL5,506.9236644,18288
SUZ12,2601.528713,137038
NPC1,279.7903015,9576
AKAP8L,1173.213293,39604
KIN,1036.370714,49974
SMC1A,1573.284167,84146
UPF1,1182.433435,46224
MS4A1,1759.538569,69908
MED13,1118.287376,52434
KLKB1,397.4228685,10418
AATF,3208.273881,143092
CUL5,2117.632683,97454
DNAJC9,1948.644606,114870
SCAMP1,603.5590631,27946
E2F3,2103.99,103932
ACAP2,3160.438303,129318
BCL3,1105.678684,39002
HMGA1,1703.176854,75972
DDX11,1079.986536,45324
SRSF10,1065.124876,65530
UBE4B,1438.708885,51004
UTP18,1255.494172,64282
H2AFZ,4888.160145,243098
MORC3,2378.630505,106086
NPEPPS,573.4681641,27986
CDKN2C,1343.668069,58642
ACTL6A,4591.305803,243484
IL5,881.7898187,31480
RASA2,2718.719016,109788
BHLHE40,3121.522789,121982
CBX1,1978.486387,95002
KRAS,1703.386777,76804
GAB2,3794.232473,136724
OXSR1,2841.563163,128368
ACACB,712.3737988,27512
TRIM33,2471.639229,104386
MAP2K2,1512.87,59758
ZNF136,1670.871146,66274
ASXL1,1660.127163,67504
P2RX4,1074.44,39630
EGF,1201.715741,36380
MSX1,1647.850146,68688
BLMH,3243.268171,145214
NFYB,1026.714067,56294
ORC1,2196.31947,98182
NR0B2,693.1650081,19322
GAPVD1,1923.41063,83382
TCF4,5872.588254,236264
DDIT4,787.237505,28710
IL7,2237.134588,85980
KMT2D,261.7910754,7732
HAUS5,412.7364722,15792
KMT2B,668.6780715,20820
RRAS2,2469.072426,107542
TMEM97,453.4352713,24456
ADNP,4123.161455,174640
MED13L,2127.550923,90164
PVRL3,1636.784632,59744
IQGAP1,2730.924488,107966
HIRIP3,673.5493602,30904
ADD3,3047.77144,120460
ACACA,1662.022391,68904
PAPD7,3389.25583,140602
WBP4,1041.428719,43262
POLD1,2960.346158,116286
SLK,1210.418515,52772
AIM2,1097.219295,37672
ERCC3,2098.087184,96138
NFATC3,1289.395787,48830
TMPO,4211.861159,216368
ACTR2,2011.966401,92030
KIAA0922,2068.784899,90938
KDM6A,565.0616325,24574
PRPF4B,1615.011979,89302
SUGP2,1083.161787,31634
INPP5E,930.439045,27418
ELK1,634.1566428,25220
SETDB1,2569.879061,99444
SOS1,4144.5,165802
IRF2,5384.757922,222428
ATN1,242.0378472,8614
TNFRSF10D,450.8035929,13272
BAX,1843.031412,74280
PLCE1,226.2080082,5298
RAD17,799.0179419,36852
FLT1,2444.26,101796
TRIO,3057.538973,117418
TRDMT1,409.3688653,21594
EFCAB14,1388.038235,50120
PDPK1,2695.68,109372
CSK,3147.7431,118782
CHD3,1829.575333,68040
IRS1,2014.432859,81612
TRAF6,1825.960357,71252
PIGR,1178.304811,37552
POU2AF1,2129.256108,88688
TNFRSF1A,2966.082512,104062
CEP135,557.4557322,26356
VIM,3196.835299,117902
DENND4A,714.8559552,33692
GABPA,2341.578919,100942
NR5A1,446.8521141,12882
NELFB,1632.151521,54462
NFATC2IP,1309.378128,51448
CDC34,290.1161076,8742
SRF,654.020922,21236
ZC3H13,1089.189544,44940
MTAP,997.519424,45932
SEPT11,2731.331719,122340
GADD45B,546.0866456,18906
MAP4K2,1413.180667,56936
TP53TG5,26.25297355,506
ADSS,1848.09,83322
RASA1,4475.42,163536
CD2,1514.705565,48750
RBL2,2176.818614,100080
DHX8,2235.875965,87350
PKM,1394.473475,52850
LPAR2,782.1893036,25306
EPS15,5872.969203,239494
STAT3,4429.035703,161246
PRKAG1,1201.364237,45720
DDX52,788.2053418,32950
NIPBL,2802.12,123802
CSTF3,2907.706027,131988
CEP152,1964.530141,78934
CTNNAL1,1668.360815,78364
IL1R1,991.7671895,30726
RAD1,805.9667978,40792
PPM1A,1703.517856,70546
PLCB3,836.2281126,25440
EPCAM,952.1460439,32880
SLBP,3958.613246,210140
COQ7,1008.08613,44966
BAZ1B,1843.414414,80758
ZHX2,3028.150364,132942
CD40,2218.048518,84600
SUPT20H,523.5842726,21712
MAP4K4,5341.832262,219512
GFRA1,4092.339783,168640
SMARCA4,3029.299584,128908
MTMR4,973.7384422,39380
SUPT4H1,682.0854032,26152
HDAC3,1750.074482,69266
TELO2,1185.269997,39518
RASSF1,368.6553209,11320
CALR,328.4369431,13548
LNPEP,2335.605238,98998
SMARCC1,3148.084069,138952
VLDLR,1377.961077,49200
SMARCA2,5316.013175,216856
SMARCD2,861.3781709,34348
ZNF510,645.6712303,23090
TAF4,1047.552596,48192
JMJD1C,703.7319062,32516
WNK1,4343.938198,180996
ERBB3,1873.7657,66660
SETD1A,871.3821961,26408
GTF2H1,1328.168178,61150
CDC40,1547.020622,69422
MSH3,644.5824683,27744
UVRAG,4526.97,178472
PSEN1,918.9386746,35106
TGIF1,727.2405347,24598
GRB2,4616.123476,156050
APAF1,2426.453645,96162
SMPD1,1037.513178,37156
DEK,5310.915744,254020
MLXIP,286.5174715,9436
PTPN6,2491.500531,82966
YAF2,755.2676586,31696
ORC3,1480.486645,73242
NRF1,1393.9802,52628
NCAPD3,2224.452682,98158
DNAJA3,1287.544824,47442
STK4,3115.35002,134550
TLK1,1975.03,93398
HIF1A,2276.036074,90844
